"","object_id","global_id","transect_meter_mark","direction_to_group","distance_to_group","number_seedlings_in_group","number_vegetative_in_group","number_reproductive_in_group","site_name","dist_between_transects","event_date","recorded_by","transect_number","transect_orientation","parent_global_id","creation_date","creator","edit_date","editor","x","y","Transect Length"
"55","76","6cbbbbe7-ab20-45b1-9653-609ef561bee6",-35.83,"+",0.4,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-35.83,0.4,50
"56","77","8200fc04-6984-45d4-bcfa-a89814f64708",-37.02,"-",-0.12,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-37.02,-0.12,50
"57","78","349b8a6f-8d0b-41e5-bc10-de9b112db1bd",-31.17,"+",0.09,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-31.17,0.09,50
"58","79","ae15e892-fc88-4eb6-a16a-b2c96a78d08f",-31.12,"+",0.26,NA,NA,2,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-31.12,0.26,50
"59","80","0e8bb903-9667-4b96-ac43-1b1a0d695add",-37.93,"-",-0.05,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-37.93,-0.05,50
"60","81","82d2fdaf-d267-488c-93ae-2986a65523b7",-38.2,"-",-1.72,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-38.2,-1.72,50
"61","82","13bde390-f347-4b94-8f8f-fb4efe664362",-38.55,"+",0.44,NA,4,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-38.55,0.44,50
"62","83","2d8caf65-697a-4691-a4f7-fafff161cc32",-42.43,"-",-0.12,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-42.43,-0.12,50
"63","84","81a140ad-26df-4a0b-ba7e-cd2c8bdeedd1",-42.65,"-",-0.41,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-42.65,-0.41,50
"64","85","e73e396c-e9cd-4832-b23e-2e63c7faa452",-42.31,"+",0.2,NA,4,5,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-42.31,0.2,50
"65","86","f2cc0a68-ef3d-4b7a-af3d-493d6744cd37",-42.85,"-",-1.83,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-42.85,-1.83,50
"66","87","416a8736-5309-4e03-ae05-7b668bb84d2b",-43.2,"-",-0.6,NA,NA,2,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-43.2,-0.6,50
"67","88","5c349c5a-3304-40f5-ba95-8a021d9b845f",-43.82,"-",-0.2,NA,NA,2,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-43.82,-0.2,50
"68","89","932f798b-76d6-4a7e-aad0-d25f689f2570",-43.75,"+",0.85,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-43.75,0.85,50
"69","90","68e48d5b-ed3e-4d7d-a0bb-f709ad82f00b",-44.22,"+",0.12,NA,4,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-44.22,0.12,50
"70","91","4045f3fc-505c-466a-a9ed-179e9a2405e9",-44.1,"+",0.34,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-44.1,0.34,50
